airport_ident,csv_le_ident,csv_he_ident,norm_le_ident,norm_he_ident,reason,db_candidate_pairs,csv_le_latitude_deg,csv_le_longitude_deg,csv_he_latitude_deg,csv_he_longitude_deg,csv_le_elevation_ft,csv_he_elevation_ft
GB-0038,1,19,01,19,no matching runway for airport,01L/19R; 01R/19L; 08/26,55.2741185354708,-1.72277212142944,55.2792634815845,-1.72138273715973,60,60
GB-0038,7,25,07,25,no matching runway for airport,01L/19R; 01R/19L; 08/26,55.2793268821074,-1.72244891524315,55.2807369446804,-1.71537593007088,60,56
GB-0044,10,28,10,28,no matching runway for airport,09/27; 18/36,51.496794708716,-1.7128586769104,51.4962336417786,-1.70499444007874,167,178
GB-0045,6,24,06,24,no matching runway for airport,08/26; 15/33,51.3893515863584,-1.7363977432251,51.3910922688767,-1.73056125640869,194,188
GB-0047,5,23,05,23,no matching runway for airport,04/22; 15/33,52.8919786732497,1.31782293319702,52.8955321593066,1.32432460784912,58,52
GB-0050,8,26,08,26,no matching runway for airport,09/27,51.1631243592414,-2.21211433410645,51.163568412336,-2.20526933670044,137,131
GB-0055,11,29,11,29,airport not found in runway table,,52.5864677374426,-0.337926149368286,52.5829606717626,-0.321639776229858,37,34
GB-0056,10,28,10,28,airport not found in runway table,,50.4203040670332,-4.80777382850647,50.4196136373576,-4.80357885360718,139,130
GB-0056,14,32,14,32,airport not found in runway table,,50.4208030841963,-4.80649709701538,50.4176926860021,-4.80270981788635,139,128
GB-0057,6,24,06,24,airport not found in runway table,,53.6276024011589,-1.26935005187988,53.6309203316732,-1.2614107131958,38,44
GB-0058,18,36,18,36,no matching runway for airport,09/27,52.9763711903667,-0.076324939727783,52.9744395151624,-0.076314210891724,16,13
GB-0059,9,27,09,27,airport not found in runway table,,51.6211373769146,-1.33879512548447,51.6211806739813,-1.33383303880692,65,65
GB-0063,17,35,17,35,no matching runway for airport,10/28; 18/36,50.7371680979287,-3.17780613899231,50.7324419830891,-3.17699611186981,234,222
GB-0065,0,18,00,18,no matching runway for airport,18/36,52.0042955544514,0.223900079727173,52.0110780644751,0.224361419677734,86,77
GB-0066,8,26,08,26,airport not found in runway table,,54.1108486011233,-0.467219352722168,54.111508987822,-0.457144975662231,151,159
GB-0069,4,22,04,22,no matching runway for airport,06/24,51.1866532829926,0.682729482650757,51.1895448034457,0.686624050140381,35,40
GB-0072,7,25,07,25,airport not found in runway table,,53.4956604340675,-0.517709255218506,53.4967390475305,-0.511336326599121,29,16
GB-0072,15,33,15,33,airport not found in runway table,,53.5000321590991,-0.522644519805908,53.4958902001819,-0.517805814743042,26,26
GB-0073,5,23,05,23,no matching runway for airport,06/24; 09/27,52.0262375824089,-1.21369957923889,52.0299342465372,-1.20594263076782,151,149
GB-0073,5,23,05,23,no matching runway for airport,06/24; 09/27,52.0271122671441,-1.21085107326508,52.0297329182342,-1.20541155338287,153,149
GB-0073,14,32,14,32,no matching runway for airport,06/24; 09/27,52.0297296177627,-1.20523989200592,52.0272178882941,-1.20114147663116,149,147
GB-0075,7,25,07,25,no matching runway for airport,08/26,53.9192650640749,-1.0118579864502,53.9282237017118,-0.96853494644165,11,13
GB-0076,6,24,06,24,airport not found in runway table,,52.1143197762317,-3.20007383823395,52.1173009497782,-3.19237589836121,253,257
GB-0077,9,27,09,27,no matching runway for airport,10L/28R; 10R/28L,51.9853492743517,-1.06026649475098,51.9852468580985,-1.05152785778046,121,119
GB-0078,9,27,09,27,no matching runway for airport,04/22; 10/28; 14/32,52.7819875376518,0.673384666442871,52.7818837082307,0.679392814636231,86,81
GB-0078,3,21,03,21,no matching runway for airport,04/22; 10/28; 14/32,52.7749914764789,0.67265510559082,52.7817668998359,0.67965030670166,79,81
GB-0079,10,28,10,28,airport not found in runway table,,51.308254539597,-1.67749643325806,51.3075586914145,-1.66988432407379,194,192
GB-0093,8,26,08,26,airport not found in runway table,,54.5701414088469,-1.79471701383591,54.5707555866951,-1.79031282663345,107,105
GB-0127,10,28,10,28,airport not found in runway table,,50.224414609358,-3.80566835403442,50.2232339662736,-3.79701018333435,132,127
GB-0150,9,27,09,27,airport not found in runway table,,55.8725811996537,-5.92470467090607,55.8727677960997,-5.91878771781921,3,0
GB-0151,11,29,11,29,airport not found in runway table,,53.8141420470324,-1.93575024604797,53.8129115767745,-1.92926734685898,330,327
GB-0151,7,25,07,25,airport not found in runway table,,53.8138031566404,-1.9338271021843,53.8147469754068,-1.92897766828537,330,315
GB-0153,5,23,05,23,airport not found in runway table,,54.8479303444886,-4.45301413536072,54.8500243310056,-4.44829344749451,22,26
GB-0157,4,22,04,22,no matching runway for airport,04L/22R; 15R/33L,51.5478028785738,-1.10539197921753,51.5532667954597,-1.09921216964722,64,62
GB-0166,5,23,05,23,airport not found in runway table,,54.7367996544487,-2.65438914299011,54.738874629681,-2.65054821968079,182,183
GB-0166,18,36,18,36,airport not found in runway table,,54.7398532378322,-2.6521360874176,54.7358581380975,-2.65170693397522,182,180
GB-0168,6,24,06,24,airport not found in runway table,,54.6551223867404,-2.93762505054474,54.6571177584321,-2.93172419071198,315,314
GB-0169,16,34,16,34,airport not found in runway table,,54.5720989712997,-2.67179131507874,54.5688399431807,-2.67009079456329,258,263
GB-0169,15,33,15,33,airport not found in runway table,,54.5719092831025,-2.67255842685699,54.5691073923249,-2.66984403133392,258,263
GB-0169,13,31,13,31,airport not found in runway table,,54.5717227036867,-2.67295002937317,54.5697262504774,-2.66876578330994,259,263
GB-0175,3,21,03,21,airport not found in runway table,,51.1726503785926,1.27445697784424,51.1796590881588,1.28160238265991,125,99
GB-0176,3,21,03,21,airport not found in runway table,,51.0303361310012,-0.33207893371582,51.0343911768992,-0.328806638717651,68,83
GB-0177,4,22,04,22,airport not found in runway table,,51.9100002140073,1.1785626411438,51.9136402981538,1.18364810943604,17,21
GB-0177,9,27,09,27,airport not found in runway table,,51.91238946615,1.17701768875122,51.9121710633384,1.18977427482605,14,18
GB-0179,3,21,03,21,airport not found in runway table,,54.2288652271899,-0.9772789478302,54.2331296475077,-0.9722900390625,35,36
GB-0179,9,27,09,27,airport not found in runway table,,54.228636315699,-0.97652792930603,54.2283070572189,-0.966759324073792,35,36
GB-0180,10,28,10,28,no matching runway for airport,09/27,55.680131144778,-4.11708354949951,55.6797742490971,-4.10929441452026,257,254
GB-0180,16,34,16,34,no matching runway for airport,09/27,55.6807178983958,-4.11401778459549,55.6794536451156,-4.11307901144028,256,256
GB-0180,6,24,06,24,no matching runway for airport,09/27,55.6794400345111,-4.11302000284195,55.6803549590521,-4.10999983549118,256,254
GB-0181,10,28,10,28,airport not found in runway table,,56.001440701801,-2.73858904838562,56.0008767667453,-2.73272037506104,37,36
GB-0181,19,1,19,01,airport not found in runway table,,56.0014646988549,-2.73628234863281,56.0002888256909,-2.7366578578949,38,38
GB-0182,6,24,06,24,airport not found in runway table,,53.1359263165595,-0.003283023834229,53.1401612782007,0.007778406143188,11,17
GB-0183,6,24,06,24,airport not found in runway table,,53.4207989952864,-0.912584066390991,53.4226211527026,-0.907788276672363,19,19
GB-0184,15,33,15,33,airport not found in runway table,,52.9502248790289,1.12109363079071,52.9454960465375,1.12495601177216,26,40
