airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft,name
320703,GB-0429,2532,0,GRS,0,0,8,53.2099329083739,-3.3923614025116,44,82,0,26,53.2108966980166,-3.38088154792786,37,262,0,Lleweni Parc Glyndwr Soaring Club
320721,GB-0431,1370,0,GRS,0,0,8,51.5634590155759,0.351841449737549,26,75,0,26,51.5644594376275,0.357667207717895,22,255,0,Barnards Farm
320749,GB-0432,1209,0,GRS,0,0,7,53.8971429603858,-2.90525883436203,16,70,0,25,53.8982634885561,-2.89996415376663,13,250,0,Brook Farm Airstrip UL
320749,GB-0432,1316,0,GRS,0,0,9,53.8970813225624,-2.90554046630859,16,85,0,27,53.8973721258551,-2.8994357585907,16,265,0,Brook Farm Airstrip UL
320750,GB-0433,1843,0,GRS,0,0,1,51.6904629366184,0.87192177772522,18,12,0,19,51.6953976421029,0.873681306838989,21,192,0,Tillingham Airstrip
320763,GB-0434,2103,0,GRS,0,0,7,52.7168118680796,1.55480146408081,16,69,0,25,52.7188850143933,1.56368494033813,9,249,0,Ludham Airfield
320764,GB-0435,1286,0,GRS,0,0,9,52.7404684757745,-0.909579992294312,96,90,0,27,52.7404554847314,-0.903754234313965,104,270,0,Eye Kettleby Airstrip
320766,GB-0436,1598,0,GRS,0,0,7,55.4781572808347,-1.72971099615097,94,68,0,25,55.4797989141419,-1.72254413366318,88,248,0,Charlton Mires Airstrip
320791,GB-0438,1183,0,GRS,0,0,4,54.167452677253,-1.22909545898438,36,43,0,22,54.1698330536106,-1.22532963752747,37,223,0,Baxby-Husthwaite Airfield
320791,GB-0438,948,0,GRS,0,0,14,54.1698581755858,-1.22781872749329,36,144,0,32,54.1677667189158,-1.22517943382263,37,324,0,Baxby-Husthwaite Airfield
320791,GB-0438,1139,0,GRS,0,0,18,54.1701784794329,-1.22689604759216,37,182,0,0,54.1670569813639,-1.22705698013306,37,2,0,Baxby-Husthwaite Airfield
320792,GB-0439,1593,0,GRS,0,0,13,53.2837349238449,-0.873863697052002,46,128,0,31,53.2810344334051,-0.868123769760132,40,308,0,Headon Microlight
320792,GB-0439,1178,0,GRS,0,0,4,53.2787250900735,-0.871793031692505,32,44,0,22,53.2810408480739,-0.868027210235596,40,224,0,Headon Microlight
320793,GB-0440,846,0,GRS,0,0,10,53.9356709218569,-2.84519076347351,19,101,0,28,53.935235116069,-2.84131765365601,16,281,0,Tarn Farm Airfield (Rossall Field)
320793,GB-0440,1411,0,GRS,0,0,1,53.9323296278275,-2.84408569335937,13,10,0,19,53.9361383027159,-2.84291625022888,16,190,0,Tarn Farm Airfield (Rossall Field)
320821,GB-0441,2931,0,GRS,0,0,8,57.5852907655884,-3.31854701042175,107,75,0,26,57.5873697372334,-3.30406308174133,101,255,0,Easterton Glider Field
320822,GB-0442,2055,0,GRS,0,0,3,57.1270744656418,-4.67187166213989,141,29,0,21,57.1320240012404,-4.66691493988037,110,209,0,Fort Augustus Airstrip
320822,GB-0442,1146,0,GRS,0,0,3,57.1257234186257,-4.67192530632019,141,33,0,21,57.1283555853801,-4.66876029968262,133,213,0,Fort Augustus Airstrip
320839,GB-0443,1115,0,GRS,0,0,2,53.3015628573363,-0.851515531539917,40,17,0,20,53.3044928523418,-0.850045680999756,42,197,0,Forwood Farm Airstrip
320841,GB-0445,1204,0,GRS,0,0,1,52.9801018570679,-1.37152075767517,119,6,0,19,52.9833832854753,-1.37093067169189,123,186,0,Park Hall Airstrip
320845,GB-0446,1615,0,GRS,0,0,7,52.1051740708889,-2.45792269706726,117,71,0,25,52.1066040347062,-2.45109915733337,98,251,0,Woodlow Farm Private Airstrip
320846,GB-0447,1184,0,GRS,0,0,8,51.4235037242375,-1.77258610725403,182,77,0,26,51.4242329351513,-1.76751136779785,178,257,0,Manton Airfield
320846,GB-0447,838,0,GRS,0,0,0,51.4211621426359,-1.77097678184509,161,3,0,18,51.4234568937812,-1.77080512046814,181,183,0,Manton Airfield
320852,GB-0448,1043,0,GRS,0,0,15,54.3307218184428,-5.94629976129909,247,154,0,33,54.3289718450629,-5.94482092534236,239,334,0,Slieve Croob Airfield
320853,GB-0449,2204,0,GRS,0,0,6,50.8518878131562,-0.003626346588135,18,63,0,24,50.8546174161005,0.004913806915283,0,243,0,Swanborough Farm Airstrip
320869,GB-0450,1208,0,GRS,0,0,2,51.003095382172,0.62073826789856,23,22,0,20,51.0061671787725,0.622712373733521,18,202,0,Witherenden Airstrip
320870,GB-0451,2398,0,GRS,0,0,8,51.402612578307,0.841323137283325,17,82,0,26,51.4035161405238,0.851762294769287,23,262,0,Eastchurch Airfield
320893,GB-0452,2366,0,GRS,0,0,9,52.2291400183605,1.11725807189941,62,85,0,27,52.2296657326008,1.12781524658203,62,265,0,Mendlesham Airstrip
320895,GB-0453,1126,0,GRS,0,0,3,51.727546505809,0.285301208496094,77,27,0,21,51.7302909969928,0.287586450576782,76,207,0,Willingale Airstrip
320918,GB-0454,1124,0,GRS,0,0,10,52.7332123753422,-2.18813538551331,92,100,0,28,52.7326601606789,-2.18312501907349,96,280,0,Mitton Airstrip
320928,GB-0456,1255,0,GRS,0,0,6,55.4662290657817,-3.8466739654541,273,63,0,24,55.4678164593556,-3.8412880897522,267,243,0,Stonehill Farm Airstrip
320929,GB-0457,2424,0,GRS,0,0,34,50.9348964368162,0.522269010543823,19,335,0,16,50.9409204050403,0.517816543579102,40,155,0,Spilsteads Farm Airstrip
321026,GB-0459,1138,0,GRS,0,0,10,52.0258811022137,-2.76492834091187,102,97,0,28,52.0254784082051,-2.75989651679993,108,277,0,Broadmeadow Farm Airstrip
321027,GB-0460,1411,0,GRS,0,0,15,52.1637847373464,-2.94723272323608,126,151,0,33,52.160395323048,-2.94418573379517,111,331,0,Woonton Airstrip
321054,GB-0461,2814,0,GRS,0,0,16,52.1843328803398,-0.11335015296936,73,160,0,34,52.1771029639148,-0.108951330184937,76,340,0,Gransden Lod Glider Field
321054,GB-0461,4428,0,GRS,0,0,4,52.1747080828018,-0.121471881866455,75,37,0,22,52.1843394584364,-0.109423398971558,71,217,0,Gransden Lod Glider Field
321057,GB-0462,2747,0,GRS,0,0,17,54.1312151161011,-0.431567430496216,68,170,0,35,54.1237902630555,-0.429421663284302,111,350,0,Octon Airstrip
321058,GB-0463,4474,0,CON,0,0,11,50.6393164725628,-4.62508320808411,293,112,0,29,50.6347642228873,-4.60712313652039,290,292,0,Davidstow Moor
321059,GB-0464,1205,0,ASP,0,0,2,51.8060010636087,0.068455338478088,75,23,0,20,51.8090426129308,0.070547461509705,81,203,0,Hunsdon Airfield
321059,GB-0464,1338,0,ASP,0,0,7,51.8058551171506,0.068020820617676,75,74,0,25,51.8068900000126,0.073712468147278,71,254,0,Hunsdon Airfield
321059,GB-0464,1103,0,ASP,0,0,13,51.80909236394,0.070257782936096,81,133,0,31,51.807016041815,0.073814392089844,71,313,0,Hunsdon Airfield
321069,GB-0465,1430,0,GRS,0,0,3,57.5850348397045,-4.31824922561646,168,27,0,21,57.5885371298033,-4.31495547294617,168,207,0,Culbokie Airstrip
321069,GB-0465,635,0,GRS,0,0,9,57.5867486461162,-4.31651115417481,170,86,0,27,57.5868694146639,-4.31327104568481,174,266,0,Culbokie Airstrip
321080,GB-0466,978,0,GRS,0,0,5,51.7049795426079,-0.276117324829102,88,49,0,23,51.7067447581565,-0.272855758666992,88,229,0,London Colney
321081,GB-0467,1381,0,GRS,0,0,12,52.4041731104336,-2.35735058784485,111,116,0,30,52.4025236064661,-2.35176086425781,119,296,0,Pound Green Airfield UL
321081,GB-0467,1581,0,GRS,0,0,15,52.4049782030683,-2.35658884048462,111,151,0,33,52.4011882485601,-2.35313415527344,118,331,0,Pound Green Airfield UL
321123,GB-0468,1468,0,GRS,0,0,5,55.2193666892686,-1.9284975528717,251,48,0,23,55.2220472089454,-1.92322969436646,248,228,0,Ewesley Airstrip
321124,GB-0469,1538,0,GRS,0,0,6,53.0319941339068,-1.83707714080811,299,56,0,24,53.034368400527,-1.83128356933594,304,236,0,Calton Moor Airfield
321124,GB-0469,1264,0,GRS,0,0,13,53.0348393672268,-1.83855772018433,310,133,0,31,53.0324973861186,-1.83430910110474,300,313,0,Calton Moor Airfield
